credential_name	credential_type	credential_args


#import-blackberry-good	BlackBerryEnterpriseServerMSSQLConnection	BESdbName<BDNA,1>BESMgmt<BDNA,>dbUserName<BDNA,1>sa<BDNA,>dbUserPassword<BDNA,1>n1md@bernardo<BDNA,>OSAuthentication<BDNA,1>0<BDNA,>bbMSSQLInstanceName<BDNA,1><BDNA,>
#import-blackberry-bad	BlackBerryEnterpriseServerMSSQLConnection	BESdbName<BDNA,1>BESMgmt<BDNA,>dbUserName<BDNA,1>sa<BDNA,>dbUserPassword<BDNA,1>badpasswd<BDNA,>OSAuthentication<BDNA,1>0<BDNA,>bbMSSQLInstanceName<BDNA,1><BDNA,>
import-ESX-good	esx	password<BDNA,1>bdna<BDNA,>port<BDNA,1>443<BDNA,>protocol<BDNA,1>https<BDNA,>userName<BDNA,1>bdna
import-ESX-kchu	esx	password<BDNA,1>n1md@345<BDNA,>port<BDNA,1>443<BDNA,>protocol<BDNA,1>https<BDNA,>userName<BDNA,1>kchu
import-ESX-good2	esx	password<BDNA,1>n1md@345<BDNA,>port<BDNA,1>443<BDNA,>protocol<BDNA,1>https<BDNA,>userName<BDNA,1>root
import-MacOS-good	sshForMac	userName<BDNA,1>bdnatest<BDNA,>password<BDNA,1>passwd1<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-MacOS-good/bdnaWorkingDirectory
import-mssql-good	MSSQLServerConnection	dbUserName<BDNA,1>sa<BDNA,>dbUserPassword<BDNA,1>bdna<BDNA,>OSAuthentication<BDNA,1>0
import-mssql-blackberry	MSSQLServerConnection	dbUserName<BDNA,1>sa<BDNA,>dbUserPassword<BDNA,1>n1md@bernardo<BDNA,>OSAuthentication<BDNA,1>0
import-mssql-bad	MSSQLServerConnection	dbUserName<BDNA,1>sa<BDNA,>dbUserPassword<BDNA,1>badpasswd<BDNA,>OSAuthentication<BDNA,1>0
import-adm-sql-sa	MSSQLServerConnection	dbUserName<BDNA,1>sa<BDNA,>dbUserPassword<BDNA,1>bdna<BDNA,>OSAuthentication<BDNA,1>0
import-orapp-good	OracleAppConnection	OSAuthentication<BDNA,1>0<BDNA,>schemaName<BDNA,1>bdnatest<BDNA,>schemaPassword<BDNA,1>bdna<BDNA,>useSchemaName<BDNA,1>1<BDNA,>useSchemaPassword<BDNA,1>1
import-orapp-bad	OracleAppConnection	OSAuthentication<BDNA,1>0<BDNA,>schemaName<BDNA,1>bdnatest<BDNA,>schemaPassword<BDNA,1>badpasswd<BDNA,>useSchemaName<BDNA,1>1<BDNA,>useSchemaPassword<BDNA,1>1
import-sapL3-bad	SAPSolManConnection	solmanUserName<BDNA,1>BDNA<BDNA,>solmanUserPwd<BDNA,1>8KC/R/MJ<BDNA,>solmanPort<BDNA,1>50100
import-snmp-bad1	snmp	community<BDNA,1>badbdnasw1<BDNA,>port<BDNA,1>161
import-snmp-bad2	snmp	community<BDNA,1>badbdnasw2<BDNA,>port<BDNA,1>161
import-snmp-bad3	snmp	community<BDNA,1>badbdnasw3<BDNA,>port<BDNA,1>161
import-snmp-good	snmp	community<BDNA,1>bdnasw<BDNA,>port<BDNA,1>161
